likes	coms	favs	size
18	14	13	122
45	14	10	672
55	120	9	4592
79	85	20	518
232	490	35	1154
134	532	66	7201
61	100	6	1158
165	167	41	611
528	519	90	1255
64	48	12	336
192	149	23	1623
366	372	47	1752
461	79	61	281
236	146	75	1380
215	32	25	204
39	63	6	1521
83	195	17	5309
320	106	63	2191
174	87	59	8647
81	167	12	1981
56	26	19	515
165	80	16	653
87	161	11	1136
278	172	116	4310
45	66	12	1093
225	51	14	646
11	9	10	429
519	120	155	1620
160	54	42	2610
65	84	13	2701
151	132	19	922
210	187	56	931
86	122	10	2855
196	108	38	1302
476	244	85	829
135	164	12	1257
81	45	18	1181
38	44	13	973
353	185	81	3119
242	264	57	418
180	74	17	624
284	270	93	4845
1014	664	280	7491
98	214	17	1585
224	61	33	1744
155	126	20	2152
92	44	11	1380
104	133	11	1928
71	69	18	664
131	61	66	5505
225	36	23	303
328	125	111	8033
518	213	61	2022
573	832	87	773
64	278	5	893
0	143	2	1238
59	134	54	816
217	368	17	1179
188	252	21	761
101	226	22	1956
401	366	169	8079
191	232	27	782
356	1206	122	9629
126	159	13	1491
102	512	15	796
83	144	10	2118
241	260	78	4223
244	33	31	983
51	47	17	1100
98	183	15	884
90	91	14	1119
123	88	12	1366
211	88	45	238
175	148	64	2185
116	104	12	891
118	538	58	10092
81	147	14	577
112	123	14	1967
107	113	26	1890
250	92	34	711
64	17	9	650
182	207	23	4213
248	42	14	847
669	195	64	1340
50	53	6	667
85	55	30	706
122	79	11	1457
137	80	30	3172
28	8	6	219
119	252	17	2230
91	48	15	1928
115	60	14	470
183	77	21	2559
67	181	7	591
106	69	25	1551
102	91	16	2348
183	106	30	1882
104	193	44	2282
225	154	59	1066
387	115	71	227
934	1145	666	24162
214	1194	72	5920
171	186	20	1580
338	401	44	1430
158	322	13	1272
39	187	45	4285
49	28	15	2148
343	314	32	4314
151	87	37	1702
1140	579	136	6211
590	412	187	18464
86	241	18	849
179	15	13	1173
167	245	48	8638
98	216	12	1738
46	28	18	435
14	10	6	262
101	100	22	1111
36	108	7	2683
115	51	53	2058
26	59	6	1538
260	127	34	2186
248	116	26	3036
250	285	18	698
57	63	8	612
43	16	8	1428
64	105	17	644
61	149	11	1352
229	93	30	1133
81	59	14	1244
63	43	11	2466
48	54	15	2455
86	247	9	602
126	69	10	558
90	61	12	1083
260	440	60	1273
1180	1071	201	364
207	178	41	3262
356	0	18	1790
119	130	14	1639
54	73	25	2809
124	172	31	6981
77	88	22	2139
274	512	42	860
120	242	21	2584
282	184	53	1760
61	49	10	3968
310	187	40	2291
102	160	19	1257
195	55	48	1302
684	172	168	649
64	118	4	1147
161	258	46	744
444	505	175	6530
33	39	9	733
42	101	4	1547
112	76	15	2385
77	54	8	1381
153	125	32	306
229	165	51	1683
117	1060	53	2858
36	32	9	1505
124	142	13	1802
126	32	45	399
115	54	16	1523
53	20	65	7049
184	873	22	1479
49	29	8	1999
75	171	19	1764
247	267	31	2194
46	27	58	641
56	31	21	2847
77	110	12	2154
191	143	44	5127
203	367	20	1606
305	181	16	965
56	196	14	1116
821	482	327	17165
85	108	11	1737
96	168	15	1067
155	222	49	121
217	238	27	1664
154	207	14	235
78	28	13	1428
249	438	27	1900
562	425	79	779
94	54	69	4657
61	40	5	815
114	81	57	8362
190	313	19	2817
81	214	14	1725
143	166	24	1805
80	109	15	811
254	260	17	636
378	238	38	2387
227	83	75	1325
139	214	26	4227
70	177	14	1239
65	21	12	241
170	107	19	1671
1299	1702	164	1883
225	722	23	810
76	228	6	460
58	141	9	102
824	753	160	2580
83	127	15	2041
88	99	32	431
132	103	13	641
68	57	8	1533
95	90	9	1272
150	152	51	10321
921	284	51	4269
71	95	4	1635
229	716	40	3250
291	554	45	839
521	1029	55	3108
170	231	11	1076
87	248	10	3197
64	31	7	2931
220	174	18	1548
154	254	22	2629
182	725	27	1604
84	129	9	2848
94	373	14	3421
67	88	8	1567
70	219	11	2911
99	155	9	4395
7	118	5	218
86	283	12	2640
304	146	110	1613
87	140	9	1316
92	121	8	2353
50	41	12	479
64	36	8	420
226	288	52	267
223	250	41	802
334	78	7	913
192	170	17	1993
178	332	23	3310
67	40	4	1387
109	108	16	1588
53	76	11	854
108	169	13	2087
43	25	3	1461
117	209	12	1034
144	129	31	3349
89	97	5	1620
169	137	14	2549
78	24	11	1285
116	257	21	2677
140	142	35	5128
149	341	10	4021
162	344	13	2759
89	43	15	620
112	52	8	1492
148	230	16	903
124	294	12	3121
153	183	71	2578
274	114	28	1989
90	66	8	2174
112	135	18	1417
33	104	10	738
133	72	14	1918
393	151	126	1820
248	148	63	3465
137	32	10	700
374	852	190	10459
376	240	53	179
328	281	46	3228
125	267	10	979
33	25	3	562
292	164	71	4077
374	115	18	1939
139	194	16	1643
219	309	14	2354
80	176	8	2464
277	71	34	281
147	58	44	2894
140	177	21	2682
259	501	22	1909
91	37	10	1638
153	140	17	2590
62	92	13	3482
131	287	10	2359
87	187	14	2268
314	464	42	3100
206	164	28	3037
161	327	27	330
41	94	8	1140
129	399	16	1314
94	118	13	543
150	344	15	1163
214	184	56	14442
236	94	17	65
102	83	20	520
23	38	9	469
95	74	11	2056
84	138	16	269
202	232	26	2991
44	31	7	285
24	171	13	1561
45	35	9	92
35	42	4	935
50	37	5	611
81	24	2	269
247	331	14	1126
63	79	12	1991
22	47	5	426
127	312	10	1283
363	64	22	204
312	172	12	2326
38	37	5	2259
61	254	24	1537
179	23	17	98
79	193	38	5711
117	48	21	1449
60	60	10	1373
89	128	11	559
106	69	12	1054
183	89	11	765
187	308	16	3057
36	20	3	2609
59	39	3	1145
251	256	14	749
362	406	40	900
113	108	5	252
52	18	6	1084
112	118	31	233
70	72	1	662
176	384	17	831
66	5	9	284
30	55	8	932
57	78	10	729
43	32	7	1217
129	60	143	6827
27	58	1	181
206	321	19	514
23	13	6	2523
60	115	13	910
155	77	104	558
81	118	6	1189
187	168	77	2415
58	46	5	239
33	17	4	1066
60	106	17	561
251	118	19	532
84	228	27	4323
45	105	6	268
61	102	6	2731
114	170	16	1996
184	199	16	2030
51	25	8	313
102	318	7	409
45	67	5	597
604	191	40	4019
18	13	1	530
61	29	7	340
156	542	24	2499
184	288	29	5273
95	231	9	298
741	2081	75	2465
202	116	54	665
192	132	7	974
160	1022	79	7635
91	141	14	1407
66	78	9	466
22	18	3	78
356	447	84	695
151	205	98	9405
57	147	4	378
207	190	8	1852
30	222	4	1065
139	44	0	204
46	210	2	1318
51	19	8	304
110	155	9	1873
62	30	7	290
177	564	12	1602
159	358	12	1777
65	55	13	436
52	87	17	2051
73	174	15	3681
207	192	49	2111
30	74	7	660
134	242	27	282
137	315	14	858
68	25	8	1050
68	77	11	1580
172	70	11	131
25	27	4	113
103	111	7	235
98	158	22	152
70	69	9	233
233	35	9	696
76	51	4	199
30	19	2	59
154	103	46	5185
63	59	16	334
68	164	9	219
108	200	8	269
41	51	89	8580
28	104	4	202
153	165	21	4735
44	333	9	644
169	334	14	1164
174	182	11	250
71	178	37	486
127	139	22	2843
746	645	35	2144
128	291	18	4047
62	56	5	446
33	29	8	1130
68	46	14	866
26	36	9	185
30	139	9	3202
53	25	7	145
62	49	9	78
50	39	7	427
53	71	38	614
178	986	21	553
190	120	31	1487
111	80	120	5125
15	72	6	490
35	39	4	1944
336	288	104	5625
206	118	14	1118
53	35	13	1088
45	52	35	460
117	67	25	4272
30	87	2	426
24	8	1	1354
53	55	7	350
30	23	7	792
138	414	33	1413
36	28	3	621
88	190	28	2629
80	56	6	258
574	82	31	1804
334	90	1233	52066
138	225	47	5821
155	63	155	4708
209	189	104	20873
82	145	14	416
646	286	53	2628
259	233	63	1880
161	332	22	3488
260	314	34	4552
40	241	7	2066
28	54	3	1255
202	224	53	5624
155	68	10	2307
26	32	8	5205
191	24	5	204
130	227	8	2944
244	89	46	5780
64	77	4	3657
29	73	9	486
60	18	4	845
171	136	20	1849
58	68	1	519
187	322	15	5912
79	65	13	2508
43	88	6	3252
145	159	9	871
90	366	34	7451
104	89	34	2667
548	406	233	42293
199	695	59	6860
27	13	6	419
368	77	15	547
267	82	36	1964
36	39	1	1219
66	46	4	2888
59	106	5	1461
20	52	3	1075
48	18	4	589
65	42	13	1469
89	47	6	783
42	67	4	3104
124	63	19	1023
102	73	25	1964
112	107	14	5383
35	37	3	660
392	424	41	774
165	231	22	1038
563	259	81	786
97	57	5	459
383	492	62	1259
75	47	8	1869
57	34	14	693
35	10	8	217
77	33	4	573
31	27	9	1055
52	137	6	358
475	75	32	144
367	771	62	3514
90	64	6	265
87	77	14	2250
58	113	5	1924
35	53	2	2707
154	214	41	2485
86	143	12	3254
33	13	5	523
451	839	37	2890
115	73	15	3069
143	115	8	1700
88	234	6	1283
27	56	5	2127
207	485	31	5624
199	490	19	3835
172	420	81	10108
80	54	8	1871
85	80	7	2056
222	120	21	1542
131	110	20	302
49	53	2	1535
58	65	4	2128
40	38	2	1444
62	140	7	6910
264	430	30	6119
46	85	11	2155
326	294	61	524
149	402	29	4892
72	215	4	2791
73	16	7	1989
88	130	11	3526
123	168	8	3064
205	63	23	1063
61	47	3	1289
107	157	23	768
178	261	33	3953
70	48	2	270
218	322	29	6031
209	274	13	1359
33	103	6	208
37	53	7	3128
180	571	34	1443
100	69	10	540
70	102	5	988
79	100	8	882
112	281	15	3423
91	186	16	827
47	54	10	2380
274	100	10	1616
144	119	20	512
45	31	5	4830
270	126	20	1050
166	815	15	2471
278	278	19	2319
190	239	18	4969
46	76	4	1745
106	106	49	752
46	27	6	685
37	46	5	2018
70	38	12	2437
126	132	4	1281
21	5	3	620
66	412	16	12339
87	111	6	2068
161	261	27	15485
62	37	1	2157
85	205	3	2113
141	108	16	2880
50	73	6	2496
56	33	16	552
419	159	40	675
422	469	107	7437
53	35	7	1514
71	28	8	1069
84	338	8	1528
189	222	15	1433
95	213	19	3901
427	803	74	5112
37	30	2	1016
41	68	3	1743
170	153	11	1008
59	125	14	3272
52	166	5	1069
332	512	85	2272
97	82	21	4812
38	53	7	1265
79	96	25	8663
125	108	3	2054
746	246	89	4010
52	45	3	1450
79	67	13	10216
62	270	3	744
112	73	5	770
135	173	6	2162
17	9	0	1907
87	77	86	538
126	205	15	1679
107	145	7	2130
246	133	12	2341
64	121	5	2489
57	62	6	2725
304	289	22	5383
195	109	23	3577
62	77	9	3268
42	16	5	725
96	29	21	1209
51	59	3	1918
85	168	6	1529
41	23	7	1529
52	75	16	5185
46	38	13	6228
86	21	8	781
286	180	74	2257
76	155	7	2861
88	75	11	1942
227	386	18	5673
409	377	36	6720
64	87	22	1611
418	242	54	318
133	29	10	1407
63	41	6	1310
56	19	59	3826
103	90	4	2069
369	137	19	4386
211	126	21	1952
80	269	6	1323
40	56	5	2318
43	69	26	2904
129	130	101	12202
65	71	10	716
255	194	26	447
89	84	7	2735
186	306	37	19549
174	189	12	2812
133	208	19	3322
23	59	3	1314
116	130	14	1106
63	332	9	1969
36	158	9	4338
63	32	4	1553
76	104	7	2117
183	294	47	10943
81	85	8	1105
53	59	10	2033
97	118	13	3646
142	117	14	2163
96	91	60	5483
44	63	3	1676
35	31	8	343
37	68	2	1056
43	17	12	1070
43	55	2	2269
164	87	28	1715
35	22	8	2155
50	163	4	1531
145	177	5	1887
157	82	11	1716
92	108	3	1957
32	76	4	1173
42	39	2	899
118	138	4	1210
90	166	9	2344
72	64	4	2225
265	61	12	1935
115	181	4	1673
51	191	9	654
29	20	0	1722
9	35	1	522
29	19	10	831
33	17	11	1020
76	151	2	1912
42	55	3	389
222	236	10	2094
34	45	3	1571
72	373	9	3079
45	70	3	4241
41	45	5	2098
69	196	6	1760
33	59	1	1446
36	42	1	221
29	11	6	550
35	35	4	635
42	172	0	1055
18	10	4	253
35	21	4	1150
75	103	7	1317
32	27	4	910
39	172	23	1720
18	90	3	2767
46	52	6	1434
130	111	15	3306
53	37	2	2416
84	115	12	1559
31	22	3	1903
83	80	13	3644
106	135	8	10977
256	198	7	1622
42	11	7	5931
30	96	5	10129
123	125	28	5063
74	108	9	2925
39	41	9	1572
232	208	27	1329
192	104	7	3095
22	23	2	986
333	442	30	661
41	72	3	1822
73	37	4	746
233	134	13	2985
62	46	10	2280
88	116	9	1367
107	48	6	579
199	123	23	935
65	68	2	2261
224	95	10	2168
43	27	7	420
46	34	9	572
40	16	2	1629
40	23	7	1752
60	105	8	1747
71	162	7	2366
25	18	5	1378
35	55	6	1699
81	52	7	932
50	49	9	1444
102	77	5	1492
35	83	2	2203
29	26	1	2582
40	17	5	1742
47	45	4	1721
400	169	73	6082
203	116	10	2325
142	139	9	1340
205	194	26	3775
88	227	7	2046
109	89	18	2080
238	167	63	3022
53	33	17	2680
51	39	0	2204
49	43	0	1262
90	299	7	2353
148	288	14	2298
166	297	11	4792
82	51	4	2038
161	259	17	6065
360	127	33	1247
39	59	3	826
94	82	2	2566
184	271	7	2955
181	118	9	602
71	68	8	666
87	54	8	754
33	16	10	591
225	306	5	2172
80	43	14	573
275	211	20	2704
313	624	17	4922
40	30	3	1937
44	10	2	337
48	110	7	4006
483	330	70	8571
92	328	10	2566
36	35	10	602
90	124	4	1224
19	17	0	1783
100	43	12	2302
47	55	5	1798
88	91	6	1672
43	107	3	1763
39	19	6	1189
47	71	4	2837
353	142	51	1555
163	61	15	1843
377	231	46	2313
106	78	30	4394
73	109	11	1018
0	199	1	532
886	540	185	17864
29	53	8	1168
39	43	4	2762
123	183	2	1215
62	23	2	1737
27	27	1	1476
70	66	36	5696
137	109	24	3104
21	9	0	1382
31	64	1	2329
29	26	0	742
27	17	0	726
45	73	7	1052
56	342	20	1680
67	44	10	4266
105	140	2	2585
58	99	7	1279
38	36	6	2546
81	89	3	2910
158	218	15	1275
37	22	2	1130
65	42	3	1024
60	37	6	925
50	70	9	1715
59	16	2	1296
38	20	1	382
97	186	6	2776
4	9	1	510
84	129	22	9293
78	55	5	2803
143	105	11	3756
29	19	0	1241
100	77	2	507
54	37	5	2592
124	212	9	1582
110	32	18	1260
83	42	8	4593
30	17	0	1026
16	13	3	844
31	46	3	324
149	219	61	11317
23	22	3	1398
165	109	21	2036
10	9	1	507
20	33	0	2841
41	57	6	1560
167	348	36	7417
26	35	1	2336
101	154	6	1923
234	78	10	589
97	133	21	1328
56	80	1	1181
17	35	1	3313
56	109	7	3045
147	128	6	2280
52	35	7	1504
70	107	2	1552
336	233	52	4210
363	87	39	6179
171	329	12	2944
149	53	22	1760
108	220	7	2062
220	119	25	1624
56	48	1	1244
21	15	0	396
43	66	3	1904
68	130	7	7050
36	88	7	3325
55	187	6	1920
211	93	18	6490
154	109	5	4713
141	51	5	269
143	312	15	5874
412	139	33	10713
88	66	11	2033
43	67	4	1764
201	81	36	3363
209	87	20	5407
176	172	24	615
166	99	16	528
32	30	10	276
468	498	56	2149
82	148	10	1529
306	613	33	5728
204	281	28	5693
85	89	10	120
91	50	21	5302
10	12	1	173
42	53	4	900
18	5	2	375
26	13	0	1464
25	38	1	1678
46	47	3	2629
178	108	33	7382
141	236	19	5874
69	70	5	1293
109	184	4	2296
68	74	0	896
63	61	1	482
95	79	4	821
49	78	4	760
69	96	3	1416
101	73	10	2466
60	274	4	2455
35	13	4	1426
202	46	37	919
121	147	6	1822
58	59	1	952
72	63	6	5700
207	290	58	16372
50	150	4	2545
35	65	0	1774
16	133	3	758
42	76	1	1176
40	25	2	437
57	91	2	1253
60	39	2	1436
23	22	2	1482
31	19	2	1591
57	13	1	1329
86	84	2	1490
215	43	17	714
144	97	7	897
18	20	0	1360
73	70	3	1634
37	41	3	1372
60	38	3	563
65	80	4	3536
250	596	14	2059
32	88	1	3178
196	243	9	260
155	384	8	1946
39	40	3	2326
192	260	3	2276
165	217	9	3212
70	51	11	1531
10	10	2	626
66	30	15	2676
142	174	10	332
78	172	4	3125
74	107	1	2322
47	151	1	1019
74	270	1	2528
66	18	1	1107
93	123	10	937
77	75	15	3028
74	114	8	608
73	116	1	3378
160	640	13	4483
29	24	1	1152
24	99	0	1626
276	480	26	7693
206	642	9	5736
177	160	11	865
166	91	36	1121
87	92	10	3567
88	97	3	1193
36	29	0	1571
81	32	3	2376
44	7	1	1702
18	8	0	1680
68	56	1	14165
196	275	15	8000
93	86	5	1444
119	60	21	4162
125	39	21	5233
101	122	9	1083
68	48	1	1986
84	148	11	6541
76	110	6	1417
102	61	15	6440
48	31	1	620
325	162	20	2674
175	184	7	2127
87	176	43	3835
56	76	1	1947
52	49	1	2153
42	65	1	1536
138	211	1	1531
156	55	19	1470
152	109	1	2313
48	33	1	2251
114	90	6	1896
69	50	2	1751
119	193	34	7863
97	28	1	492
74	55	6	569
113	32	1	2965
331	156	89	3882
135	100	5	1839
135	84	13	3377
76	119	6	1682
69	103	1	2603
192	84	10	2062
278	717	19	2060
268	295	24	3871
80	18	1	1626
106	144	12	3830
33	63	7	6911
31	50	1	2685
38	18	0	1536
189	248	27	3794
70	35	1	315
101	37	16	3371
22	26	8	1322
76	63	8	1629
115	203	1	2990
205	211	37	11154
129	158	14	2993
100	68	17	2312
68	41	5	1394
106	54	3	1625
184	0	1	1786
133	143	16	6607
200	144	43	7072
77	88	1	718
80	79	5	1448
87	62	12	1618
56	90	13	7286
66	21	0	1883
35	68	3	1722
76	23	15	15092
80	130	1	4680
100	27	10	540
92	50	3	2873
59	43	1	2350
51	68	0	1616
127	184	8	2926
59	47	1	1371
1272	1008	175	6981
107	62	61	2808
83	264	6	4237
41	50	1	3976
214	401	19	3335
118	207	6	2682
193	359	9	3765
141	57	19	4565
26	18	0	1541
179	140	34	9759
438	107	35	583
119	21	14	2994
192	477	14	1929
96	18	1	1542
83	288	5	2888
77	49	2	3073
76	71	6	2272
250	132	26	10412
98	115	6	1840
118	238	8	2734
116	131	12	8685
59	18	12	1530
186	455	17	3410
88	105	15	1871
41	50	1	2632
175	60	26	5385
18	35	2	408
79	136	1	2290
505	889	87	4047
140	118	7	8112
193	205	26	7289
101	52	1	1321
57	68	0	1440
231	104	18	1037
85	20	1	1354
37	39	0	2016
56	38	5	4306
49	43	1	1270
62	15	1	2082
207	212	20	17459
75	62	2	1589
2	42	1	788
48	44	1	2417
56	135	1	1615
49	47	1	1261
40	18	1	2035
18	68	1	860
69	63	1	1430
120	50	1	1120
33	18	3	2869
88	143	3	2793
39	53	4	2214
125	49	6	2215
75	34	1	4896
71	77	1	5979
136	155	20	3665
52	119	5	6943
85	51	3	1675
78	49	4	4512
190	113	5	2991
62	113	7	2237
67	39	6	2125
135	138	6	2686
10	20	0	1751
32	13	1	1780
93	64	2	1976
34	13	1	1893
94	39	1	2630
54	47	1	1506
3	9	0	577
82	80	3	3418
49	19	8	473
70	107	1	2494
50	68	1	2341
37	57	8	1789
87	36	5	1123
23	20	0	1610
17	8	1	1313
17	19	0	520
178	177	12	7112
91	74	7	5625
100	209	4	1523
23	85	0	4520
26	56	1	1564
207	184	88	14005
94	117	5	2248
72	63	3	6653
167	70	2	1635
54	36	1	2388
39	22	1	2797
67	18	1	1433
96	123	1	2511
45	42	0	1300
103	118	0	1883
30	19	0	977
34	43	1	3014
72	132	5	2408
19	19	0	1448
18	37	1	1809
132	111	18	9328
16	31	2	436
36	32	1	1764
31	34	0	1510
60	22	5	1720
147	144	12	3657
91	403	5	3698
51	36	1	2184
131	306	1	3585
41	20	1	1109
66	105	1	1696
94	59	7	4833
107	191	18	5329
48	41	1	986
35	39	0	551
56	42	1	1959
59	85	29	21207
52	42	1	339
165	68	5	3139
110	138	0	1855
44	33	1	543
23	4	0	658
178	197	10	4123
27	78	3	1219
35	33	0	1403
30	97	0	1988
53	95	1	2089
42	44	1	2343
95	49	1	2076
84	51	2	2610
41	77	0	1704
41	242	1	3354
16	11	0	1586
32	54	1	1146
37	15	1	1069
29	15	0	1204
144	80	71	5677
87	74	1	2373
28	51	0	2659
86	169	7	2815
103	117	5	3035
9	26	2	467
65	28	4	3610
28	25	0	589
68	269	5	2416
85	45	1	1878
71	148	9	2713
75	87	1	1238
41	50	1	2451
237	213	1	10477
169	226	1	7001
30	28	0	2655
58	48	0	3125
16	9	0	2328
23	71	0	1549
61	51	1	2448
34	20	4	4307
31	38	1	2390
56	93	1	2503
20	33	0	3882
81	148	12	5908
61	107	6	3020
49	29	1	1504
34	67	1	2285
96	149	16	2933
78	55	1	2915
41	25	0	1715
54	8	0	1934
208	79	6	2271
83	102	1	3038
16	18	0	3132
29	14	0	2712
46	21	1	2302
51	48	0	3371
68	75	4	9746
62	120	0	2294
416	306	48	13193
117	49	1	2005
58	24	0	1666
109	191	0	1654
106	61	1	7748
105	84	3	1201
49	137	1	1551
78	69	1	2804
173	48	1	1559
120	68	8	1131
72	62	4	2441
152	75	26	8249
191	100	27	4742
63	16	0	1909
86	79	1	1132
31	21	2	509
39	26	1	2283
32	6	1	1085
123	114	7	6340
100	71	2	1467
105	34	17	3453
32	40	3	1553
33	32	1	1761
42	38	0	1666
54	29	0	3094
32	73	0	2134
218	121	13	1039
86	59	1	8416
78	111	1	3051
18	15	0	1602
18	17	3	982
109	185	1	3012
80	17	22	1281
58	111	0	1414
63	55	0	1223
60	20	14	1148
175	85	26	2803
129	46	4	2136
48	42	0	1369
30	30	1	1342
55	59	1	2469
100	90	1	3588
123	71	1	3024
57	72	0	2659
174	65	38	1699
198	298	31	8062
540	309	40	10380
54	0	1	2206
74	95	5	4885
61	87	12	5164
34	21	1	1364
29	90	1	2493
125	36	27	2320
63	31	1	2954
155	125	1	3361
36	41	0	3533
260	138	16	12815
52	86	1	4668
105	227	8	1933
41	56	1	2687
72	108	1	3365
62	10	1	2764
24	34	0	1750
41	14	0	2081
36	22	1	2015
252	618	143	7056
51	29	1	1951
29	3	1	2151
200	59	149	5958
78	133	2	2771
219	346	29	12551
86	42	4	1333
48	26	1	1492
29	11	0	3174
32	20	0	1658
59	70	1	1530
24	8	2	784
129	81	28	14976
145	92	17	4646
183	30	53	11241
48	80	6	7041
54	16	1	1261
34	42	2	2312
124	221	1	2502
60	28	1	538
26	2	1	1545
121	227	13	4573
109	111	1	2292
165	47	177	37601
80	48	24	40156
39	50	1	2756
181	142	198	26641
32	39	2	4399
143	40	18	2976
93	52	5	2732
82	63	1	1576
76	76	1	1193
27	22	3	1121
28	72	0	2857
60	64	0	1214
46	31	1	2664
35	25	1	1695
51	133	1	787
176	58	11	7172
23	15	0	337
20	35	2	655
88	205	10	891
46	57	3	3553
34	45	0	1778
29	50	0	1219
24	17	1	429
53	120	3	2113
133	55	37	4181
170	62	21	1715
10	103	1	3315
28	23	1	1715
23	54	1	3256
173	263	20	5310
33	18	1	838
40	34	0	2001
91	71	5	3556
124	65	1	1312
70	86	11	4605
24	26	1	1777
38	46	1	268
13	39	1	462
23	13	1	4356
65	103	1	1252
65	90	1	651
138	259	94	14771
128	141	8	5108
32	22	1	1542
45	49	6	2959
89	44	1	4140
32	61	3	3010
26	25	1	531
29	11	1	388
23	17	1	772
93	49	1	2560
136	136	14	4068
14	8	1	517
43	23	6	462
39	18	4	2321
66	20	1	1838
23	4	1	1084
45	22	1	1175
20	26	0	3580
30	37	0	1366
90	42	4	1269
41	58	1	2782
35	40	1	883
84	78	43	3443
56	40	1	7796
12	5	0	1232
31	4	0	852
14	138	1	1699
14	15	1	1129
26	45	1	1599
23	36	1	1248
38	123	1	1939
27	12	0	1726
67	56	1	2002
31	25	1	3803
18	13	1	1412
16	3	0	1883
48	112	0	1845
73	88	10	9682
85	32	1	1748
37	36	1	1782
21	37	0	1052
77	125	1	1058
182	120	1	2487
33	6	0	1737
62	117	6	2160
17	12	0	631
51	53	1	1471
31	19	1	488
32	34	2	777
23	11	1	1442
70	106	1	1359
24	9	1	2118
15	12	0	661
87	170	22	6952
26	43	1	1051
9	4	1	580
59	70	1	4610
49	26	1	2126
68	54	1	4613
40	18	0	534
48	37	0	1527
25	13	0	1149
94	1144	24	792
70	236	1	2838
19	103	1	2926
23	13	1	294
191	228	66	710
136	99	7	2555
45	85	1	1894
36	36	0	2437
26	56	1	2466
31	41	0	1608
34	51	1	1006
44	62	0	1540
61	100	1	5242
82	152	6	1177
46	96	1	3301
60	189	1	1974
92	81	1	14676
39	35	1	2977
84	92	6	8554
38	64	2	2067
51	54	0	2312
49	15	1	3450
225	209	30	9543
46	48	1	1608
37	65	1	2079
89	110	6	2136
45	95	3	14510
25	29	1	1758
28	22	1	2113
55	42	0	2204
29	16	1	1117
54	103	1	1192
67	32	1	2448
181	131	27	10511
90	59	1	1902
9	13	0	1821
46	62	1	866
28	45	1	2291
17	6	1	1662
68	74	17	6923
14	33	1	2838
66	37	1	8676
31	36	1	2039
25	39	1	1600
25	29	1	3526
32	17	1	3322
84	78	1	1781
11	4	0	1649
165	251	24	5655
41	37	1	1346
56	93	6	2789
0	32	0	1627
33	55	0	6180
69	30	8	2864
17	42	0	551
38	84	1	7037
40	80	6	966
154	394	16	5080
70	116	6	2466
20	13	0	1183
58	211	1	4054
